순위	선수명	팀명	POS	G	GS	IP	E	PKO	PO	A	DP	FPCT	PB	SB	CS	CS%
1	김성현	SK	유격수	144	132	1143 2/3	26	0	179	357	83	0.954	0	0	0	-
2	정은원	한화	2루수	142	137	1192 2/3	13	0	299	418	116	0.982	0	0	0	-
3	최정	SK	3루수	134	133	1153	14	0	93	211	21	0.956	0	0	0	-
3	오지환	LG	유격수	134	131	1101	12	0	214	399	102	0.981	0	0	0	-
5	허경민	두산	3루수	132	124	1080	8	0	86	192	18	0.972	0	0	0	-
6	로맥	SK	1루수	130	127	1113 1/3	3	0	1021	47	102	0.997	0	0	0	-
6	김재호	두산	유격수	130	116	993 1/3	10	0	158	338	67	0.980	0	0	0	-
8	정주현	LG	2루수	128	124	972	13	0	209	308	79	0.975	0	0	0	-
9	오재일	두산	1루수	126	119	1044	4	0	1031	74	100	0.996	0	0	0	-
9	박경수	KT	2루수	126	121	983 2/3	9	0	222	350	81	0.985	0	0	0	-
11	심우준	KT	유격수	124	113	976 1/3	9	0	213	287	77	0.982	0	0	0	-
12	김상수	삼성	2루수	121	117	993	10	0	235	327	75	0.983	0	0	0	-
13	송광민	한화	3루수	120	115	974	16	0	79	217	32	0.949	0	0	0	-
13	오선진	한화	유격수	120	113	954 2/3	12	0	160	302	71	0.975	0	0	0	-
15	신본기	롯데	유격수	118	108	906 2/3	15	0	161	271	56	0.966	0	0	0	-
16	황재균	KT	3루수	117	112	964	10	0	103	213	22	0.969	0	0	0	-
17	이학주	삼성	유격수	116	110	935 1/3	19	0	155	279	67	0.958	0	0	0	-
17	박민우	NC	2루수	116	111	928 1/3	9	0	232	299	64	0.983	0	0	0	-
19	오태곤	KT	1루수	113	85	726 1/3	8	0	694	71	65	0.990	0	0	0	-
20	김선빈	KIA	유격수	110	100	835 2/3	9	0	143	265	63	0.978	0	0	0	-
21	박병호	키움	1루수	108	108	906 2/3	6	0	923	78	88	0.994	0	0	0	-
22	김하성	키움	유격수	105	100	846	15	0	150	284	62	0.967	0	0	0	-
22	김민성	LG	3루수	105	104	841 2/3	6	0	61	176	12	0.975	0	0	0	-
24	김용의	LG	1루수	96	40	481	5	0	452	41	37	0.990	0	0	0	-
25	안치홍	KIA	2루수	94	89	729 1/3	11	0	158	229	56	0.972	0	0	0	-
26	박찬호	KIA	3루수	92	82	692	10	0	76	136	9	0.955	0	0	0	-
27	러프	삼성	1루수	91	91	780 1/3	5	0	669	60	67	0.993	0	0	0	-
28	오재원	두산	2루수	88	44	480 2/3	7	0	122	160	45	0.976	0	0	0	-
28	이원석	삼성	3루수	88	87	722	13	0	45	127	11	0.930	0	0	0	-
30	김주찬	KIA	1루수	76	65	538 2/3	6	0	481	39	48	0.989	0	0	0	-
31	모창민	NC	1루수	71	63	545	5	0	489	39	56	0.991	0	0	0	-
32	노진혁	NC	유격수	70	61	497	2	0	80	165	30	0.992	0	0	0	-
33	최주환	두산	2루수	68	64	474	2	0	94	168	36	0.992	0	0	0	-
34	장영석	키움	3루수	67	63	511	7	0	31	117	8	0.955	0	0	0	-
34	손시헌	NC	유격수	67	35	344 1/3	4	0	54	137	31	0.979	0	0	0	-
36	김혜성	키움	유격수	66	43	426	9	0	63	145	21	0.959	0	0	0	-
37	박석민	NC	3루수	65	61	475 1/3	11	0	45	77	11	0.917	0	0	0	-
38	김혜성	키움	2루수	63	50	437 1/3	5	0	107	153	32	0.981	0	0	0	-
38	박찬호	KIA	유격수	63	41	379 1/3	5	0	85	135	31	0.978	0	0	0	-
40	서건창	키움	2루수	62	61	481	6	0	106	162	35	0.978	0	0	0	-
41	나주환	SK	2루수	61	49	399	1	0	96	155	38	0.996	0	0	0	-
42	김찬형	NC	유격수	58	36	340	3	0	62	106	22	0.982	0	0	0	-
42	이원재	NC	1루수	58	42	369	4	0	351	20	24	0.989	0	0	0	-
44	안상현	SK	2루수	55	16	250 2/3	6	0	53	93	18	0.961	0	0	0	-
44	오윤석	롯데	1루수	55	26	291	3	0	231	23	26	0.988	0	0	0	-
46	류지혁	두산	유격수	54	26	266	8	0	43	77	21	0.938	0	0	0	-
47	채태인	롯데	1루수	53	45	342 1/3	1	0	338	25	30	0.997	0	0	0	-
48	송성문	키움	3루수	52	44	389 1/3	4	0	27	77	12	0.963	0	0	0	-
48	강로한	롯데	유격수	52	28	261 2/3	12	0	45	78	25	0.911	0	0	0	-
48	박승욱	KT	1루수	52	25	252 1/3	2	0	265	23	27	0.993	0	0	0	-
48	노진혁	NC	3루수	52	31	301	3	0	19	82	12	0.971	0	0	0	-
52	윌슨	롯데	3루수	51	48	415	4	0	35	70	9	0.963	0	0	0	-
52	윤진호	LG	2루수	51	0	101	0	0	25	41	11	1.000	0	0	0	-
54	아수아헤	롯데	2루수	48	43	385 2/3	3	0	96	119	24	0.986	0	0	0	-
54	지석훈	NC	3루수	48	21	235 2/3	4	0	19	56	6	0.949	0	0	0	-
56	최영진	삼성	3루수	47	36	342 2/3	4	0	24	66	6	0.957	0	0	0	-
57	류지혁	두산	2루수	46	28	243 2/3	2	0	66	84	14	0.987	0	0	0	-
58	한동희	롯데	3루수	45	40	346 1/3	8	0	29	75	8	0.929	0	0	0	-
58	조셉	LG	1루수	45	44	357	4	0	352	33	36	0.990	0	0	0	-
60	최항	SK	2루수	43	38	280	3	0	65	79	15	0.980	0	0	0	-
61	김회성	한화	1루수	42	15	173 2/3	1	0	138	12	19	0.993	0	0	0	-
61	최영진	삼성	1루수	42	29	269	4	0	263	22	36	0.986	0	0	0	-
61	정훈	롯데	1루수	42	25	238 2/3	1	0	218	14	25	0.996	0	0	0	-
61	박승욱	KT	2루수	42	17	200	2	0	50	54	16	0.981	0	0	0	-
65	장영석	키움	1루수	40	20	221 1/3	3	0	179	14	15	0.985	0	0	0	-
65	최원준	KIA	3루수	40	35	309	6	0	22	55	3	0.928	0	0	0	-
67	송성문	키움	2루수	39	29	263 2/3	3	0	53	78	20	0.978	0	0	0	-
67	윤진호	LG	3루수	39	2	100	1	0	4	21	2	0.962	0	0	0	-
69	유민상	KIA	1루수	38	31	285	3	0	283	18	28	0.990	0	0	0	-
69	강로한	롯데	2루수	38	33	264 2/3	5	0	60	118	25	0.973	0	0	0	-
69	이상호	NC	1루수	38	17	181 1/3	2	0	173	16	19	0.990	0	0	0	-
72	노시환	한화	1루수	36	24	201 2/3	2	0	202	13	19	0.991	0	0	0	-
72	김하성	키움	3루수	36	28	240 1/3	5	0	7	44	4	0.911	0	0	0	-
74	이상호	NC	2루수	35	19	190 2/3	1	0	50	52	16	0.990	0	0	0	-
75	김지수	키움	3루수	34	1	66 1/3	0	0	9	9	1	1.000	0	0	0	-
75	류승현	KIA	1루수	34	25	197 2/3	0	0	191	18	15	1.000	0	0	0	-
77	김지수	키움	2루수	33	1	70	1	0	20	27	9	0.979	0	0	0	-
78	황윤호	KIA	2루수	32	16	152 2/3	4	0	33	47	12	0.952	0	0	0	-
78	구본혁	LG	3루수	32	16	148	0	0	7	26	3	1.000	0	0	0	-
78	신민재	LG	2루수	32	13	133	0	0	37	45	14	1.000	0	0	0	-
81	김태균	한화	1루수	31	30	223 1/3	1	0	201	12	19	0.995	0	0	0	-
81	강민국	KT	유격수	31	21	176	5	0	38	64	9	0.953	0	0	0	-
81	윤석민	KT	1루수	31	20	179	1	0	179	9	21	0.995	0	0	0	-
84	정근우	한화	1루수	30	24	206 2/3	4	0	192	11	22	0.981	0	0	0	-
84	오윤석	롯데	2루수	30	24	176 1/3	1	0	44	60	12	0.990	0	0	0	-
86	류지혁	두산	3루수	29	17	148	1	0	20	29	6	0.980	0	0	0	-
86	고승민	롯데	2루수	29	19	185	2	0	49	65	18	0.983	0	0	0	-
86	김현수	LG	1루수	29	28	209 1/3	1	0	225	20	28	0.996	0	0	0	-
89	박계범	삼성	유격수	28	25	217 2/3	5	0	47	72	17	0.960	0	0	0	-
90	강경학	한화	유격수	27	17	153	3	0	31	50	18	0.964	0	0	0	-
90	변우혁	한화	1루수	27	14	133	1	0	124	11	18	0.993	0	0	0	-
90	김성훈	삼성	2루수	27	8	104 1/3	1	0	27	36	9	0.984	0	0	0	-
90	강로한	롯데	3루수	27	23	183 1/3	3	0	18	38	1	0.949	0	0	0	-
94	노시환	한화	3루수	26	18	167	5	0	7	37	4	0.898	0	0	0	-
94	페게로	LG	1루수	26	26	189	6	0	169	15	17	0.968	0	0	0	-
96	구본혁	LG	유격수	25	9	111	1	0	13	46	7	0.983	0	0	0	-
97	샌즈	키움	1루수	24	15	140	1	0	154	8	9	0.994	0	0	0	-
98	이성열	한화	1루수	23	18	159	2	0	159	11	19	0.988	0	0	0	-
98	황윤호	KIA	3루수	23	11	110	2	0	15	21	0	0.947	0	0	0	-
100	노시환	한화	유격수	22	4	60	0	0	11	21	7	1.000	0	0	0	-
100	김동한	롯데	2루수	22	14	124	2	0	26	39	11	0.970	0	0	0	-
100	윤석민	KT	3루수	22	18	129 2/3	4	0	12	22	0	0.895	0	0	0	-
100	이상호	NC	3루수	22	15	130	2	0	10	28	5	0.950	0	0	0	-
104	이대호	롯데	1루수	21	20	147 2/3	1	0	140	17	16	0.994	0	0	0	-
104	윤진호	LG	유격수	21	2	49 1/3	1	0	11	9	3	0.952	0	0	0	-
